Date,Quarter,Time,Year
26-07-2013,Q1,18:56,2013
30-10-2013,Q2,19:19,2013
21-01-2014,Q3,17:27,2014
09-05-2014,Q4,19:15,2014
31-07-2014,Q1,08:59,2014
06-11-2014,Q2,12:23,2014
28-01-2015,Q3,19:55,2015
16-05-2015,Q4,16:23,2015
27-07-2015,Q1,18:54,2015
29-10-2015,Q2,15:24,2015
04-02-2016,Q3,17:15,2016
23-05-2016,Q4,18:05,2016
27-07-2016,Q1,18:27,2016
26-10-2016,Q2,17:13,2016
03-02-2017,Q3,14:33,2017
26-05-2017,Q4,19:07,2017
31-07-2017,Q1,14:06,2017
03-11-2017,Q2,16:13,2017
08-02-2018,Q3,18:05,2018
30-05-2018,Q4,17:41,2018
02-08-2018,Q1,17:52,2018
03-11-2018,Q2,16:25,2018
30-01-2019,Q3,16:13,2019
20-05-2019,Q4,18:10,2019
23-07-2019,Q1,17:42,2019
23-10-2019,Q2,17:16,2019
27-01-2020,Q3,16:42,2020
26-05-2020,Q4,16:58,2020
30-07-2020,Q1,17:04,2020
26-10-2020,Q2,16:39,2020
08-02-2021,Q3,15:57,2021
18-05-2021,Q4,16:04,2021
27-07-2021,Q1,16:59,2021
26-10-2021,Q2,17:48,2021
25-01-2022,Q3,17:50,2022
25-05-2022,Q4,17:48,2022
29-07-2022,Q1,18:10,2022
21-10-2022,Q2,20:18,2022
