Date,Quarter,Time,Year
28-01-2013,Q3,19:45,2013
29-05-2013,Q4,19:35,2013
25-07-2013,Q1,19:12,2013
29-10-2013,Q2,18:55,2013
27-01-2014,Q3,08:47,2014
12-05-2014,Q4,21:03,2014
28-07-2014,Q1,19:59,2014
04-11-2014,Q2,18:23,2014
31-01-2015,Q3,17:23,2015
13-05-2015,Q4,09:51,2015
04-08-2015,Q1,20:02,2015
28-10-2015,Q2,19:39,2015
02-02-2016,Q3,19:27,2016
18-05-2016,Q4,20:51,2016
02-08-2016,Q1,18:04,2016
27-10-2016,Q2,18:05,2016
09-02-2017,Q3,18:14,2017
23-05-2017,Q4,21:06,2017
01-08-2017,Q1,12:39,2017
06-11-2017,Q2,17:03,2017
29-05-2018,Q4,17:49,2018
01-08-2018,Q1,16:35,2018
30-10-2018,Q2,17:12,2018
05-02-2019,Q3,17:22,2019
15-05-2019,Q4,17:18,2019
05-08-2019,Q1,16:15,2019
05-11-2019,Q2,18:09,2019
12-02-2020,Q3,16:28,2020
18-05-2020,Q4,18:34,2020
06-08-2020,Q1,17:07,2020
05-11-2020,Q2,17:00,2020
09-02-2021,Q3,16:51,2021
20-05-2021,Q4,17:59,2021
06-08-2021,Q1,17:23,2021
27-10-2021,Q2,17:58,2021
03-02-2022,Q3,17:37,2022
10-05-2022,Q4,18:02,2022
08-08-2022,Q1,17:08,2022
10-11-2022,Q2,18:42,2022
