Date,Quarter,Time,Year
30-04-2013,Q4,14:35,2013
12-08-2013,Q1,13:50,2013
25-10-2013,Q2,14:07,2013
29-01-2014,Q3,14:27,2014
29-04-2014,Q4,15:39,2014
24-07-2014,Q1,14:15,2014
14-11-2014,Q2,13:55,2014
03-02-2015,Q3,15:07,2015
29-04-2015,Q4,15:11,2015
24-07-2015,Q1,14:35,2015
27-10-2015,Q2,14:35,2015
29-01-2016,Q3,10:15,2016
03-05-2016,Q4,14:52,2016
26-07-2016,Q1,14:27,2016
27-10-2016,Q2,13:58,2016
24-01-2017,Q3,14:18,2017
27-04-2017,Q4,14:28,2017
11-08-2017,Q1,14:29,2017
01-11-2017,Q2,13:33,2017
30-01-2018,Q3,12:25,2018
16-05-2018,Q4,13:56,2018
07-08-2018,Q1,14:00,2018
23-10-2018,Q2,13:15,2018
22-01-2019,Q3,13:01,2019
30-04-2019,Q4,15:58,2019
22-07-2019,Q1,17:00,2019
17-10-2019,Q2,15:01,2019
04-02-2020,Q3,17:52,2020
28-05-2020,Q4,15:21,2020
29-07-2020,Q1,17:00,2020
29-10-2020,Q2,17:35,2020
28-01-2021,Q3,16:47,2021
27-04-2021,Q4,18:43,2021
29-07-2021,Q1,17:24,2021
21-10-2021,Q2,16:44,2021
07-02-2022,Q3,16:45,2022
05-05-2022,Q4,16:20,2022
28-07-2022,Q1,16:11,2022
04-11-2022,Q2,16:41,2022
