Date,Quarter,Time,Year
30-05-2013,Q4,20:58,2013
14-08-2013,Q1,19:17,2013
07-11-2013,Q2,20:03,2013
14-02-2014,Q3,23:07,2014
28-05-2014,Q4,08:15,2014
13-08-2014,Q1,21:03,2014
13-11-2014,Q2,08:39,2014
13-02-2015,Q3,17:23,2015
28-05-2015,Q4,19:07,2015
23-07-2015,Q1,08:07,2015
02-11-2015,Q2,17:03,2015
02-02-2016,Q3,17:04,2016
14-05-2016,Q4,12:18,2016
12-08-2016,Q1,20:38,2016
04-11-2016,Q2,20:55,2016
09-02-2017,Q3,20:38,2017
17-05-2017,Q4,21:03,2017
10-08-2017,Q1,18:48,2017
08-11-2017,Q2,14:44,2017
02-02-2018,Q3,16:20,2018
24-05-2018,Q4,21:48,2018
10-08-2018,Q1,14:21,2018
14-11-2018,Q2,19:29,2018
14-02-2019,Q3,15:35,2019
21-05-2019,Q4,00:19,2019
13-08-2019,Q1,18:40,2019
07-11-2019,Q2,16:52,2019
06-02-2020,Q3,19:51,2020
24-06-2020,Q4,20:28,2020
14-08-2020,Q1,20:20,2020
06-11-2020,Q2,18:43,2020
28-01-2021,Q3,18:24,2021
27-04-2021,Q4,18:58,2021
28-07-2021,Q1,16:54,2021
27-10-2021,Q2,17:47,2021
28-01-2022,Q3,17:20,2022
26-04-2022,Q4,19:40,2022
27-07-2022,Q1,20:10,2022
20-10-2022,Q2,20:36,2022
