Date,Quarter,Time,Year
29-07-2013,Q1,14:10,2013
21-10-2013,Q2,09:51,2013
20-01-2014,Q3,12:47,2014
23-04-2014,Q4,18:35,2014
19-07-2014,Q1,13:59,2014
20-10-2014,Q2,09:03,2014
23-01-2015,Q3,16:07,2015
25-04-2015,Q4,17:27,2015
20-07-2015,Q1,14:07,2015
19-10-2015,Q2,14:06,2015
20-01-2016,Q3,13:35,2016
25-04-2016,Q4,15:49,2016
19-07-2016,Q1,13:09,2016
17-10-2016,Q2,13:14,2016
21-01-2017,Q3,13:53,2017
24-04-2017,Q4,13:32,2017
18-07-2017,Q1,13:41,2017
18-10-2017,Q2,13:41,2017
18-01-2018,Q3,13:25,2018
25-04-2018,Q4,15:38,2018
18-07-2018,Q1,14:11,2018
19-10-2018,Q2,14:17,2018
24-01-2019,Q3,13:56,2019
24-04-2019,Q4,14:36,2019
08-08-2019,Q1,14:22,2019
21-10-2019,Q2,13:59,2019
24-01-2020,Q3,13:56,2020
20-05-2020,Q4,14:44,2020
28-07-2020,Q1,13:47,2020
21-10-2020,Q2,14:18,2020
23-01-2021,Q3,13:28,2021
07-05-2021,Q4,20:19,2021
22-07-2021,Q1,13:38,2021
18-10-2021,Q2,13:54,2021
17-01-2022,Q3,14:01,2022
29-04-2022,Q4,14:26,2022
22-07-2022,Q1,13:49,2022
19-10-2022,Q2,19:14,2022
