Date,Quarter,Time,Year
25-04-2013,Q4,13:43,2013
24-07-2013,Q1,13:57,2013
24-10-2013,Q2,13:27,2013
24-01-2014,Q3,12:47,2014
25-04-2014,Q4,12:27,2014
28-07-2014,Q1,13:47,2014
21-10-2014,Q2,12:39,2014
02-02-2015,Q3,13:35,2015
27-04-2015,Q4,12:19,2015
29-07-2015,Q1,13:03,2015
26-10-2015,Q2,14:13,2015
29-01-2016,Q3,12:30,2016
29-04-2016,Q4,12:13,2016
29-07-2016,Q1,12:52,2016
28-10-2016,Q2,12:01,2016
25-01-2017,Q3,13:07,2017
28-04-2017,Q4,14:11,2017
31-07-2017,Q1,13:38,2017
30-10-2017,Q2,13:59,2017
25-01-2018,Q3,13:54,2018
27-04-2018,Q4,15:38,2018
31-07-2018,Q1,14:12,2018
26-10-2018,Q2,13:59,2018
31-01-2019,Q3,19:49,2019
17-05-2019,Q4,14:47,2019
31-07-2019,Q1,16:35,2019
07-11-2019,Q2,15:07,2019
07-02-2020,Q3,16:13,2020
22-05-2020,Q4,16:28,2020
31-07-2020,Q1,16:31,2020
30-10-2020,Q2,16:27,2020
29-01-2021,Q3,15:51,2021
12-05-2021,Q4,15:49,2021
30-07-2021,Q1,15:39,2021
29-10-2021,Q2,16:25,2021
31-01-2022,Q3,10:48,2022
09-05-2022,Q4,16:36,2022
01-08-2022,Q1,14:55,2022
01-11-2022,Q2,14:38,2022
16-11-2022,Q2,21:25,2022
