Date,Quarter,Time,Year
29-04-2013,Q4,11:13,2013
29-07-2013,Q1,17:50,2013
31-10-2013,Q2,18:07,2013
28-01-2014,Q3,18:31,2014
29-04-2014,Q4,14:39,2014
30-07-2014,Q1,09:19,2014
29-10-2014,Q2,15:19,2014
29-01-2015,Q3,15:23,2015
29-04-2015,Q4,15:43,2015
29-07-2015,Q1,15:13,2015
27-10-2015,Q2,15:04,2015
28-01-2016,Q3,14:27,2016
28-04-2016,Q4,15:31,2016
29-07-2016,Q1,15:23,2016
28-10-2016,Q2,14:02,2016
14-02-2017,Q3,14:05,2017
15-05-2017,Q4,14:52,2017
25-07-2017,Q1,15:12,2017
02-11-2017,Q2,16:01,2017
31-01-2018,Q3,15:57,2018
03-05-2018,Q4,16:20,2018
31-07-2018,Q1,16:07,2018
31-10-2018,Q2,16:48,2018
31-01-2019,Q3,17:02,2019
07-05-2019,Q4,16:19,2019
26-07-2019,Q1,16:13,2019
14-11-2019,Q2,13:47,2019
31-01-2020,Q3,16:14,2020
06-06-2020,Q4,15:16,2020
06-11-2020,Q2,17:21,2020
29-01-2021,Q3,16:05,2021
13-05-2021,Q4,15:50,2021
26-07-2021,Q1,15:22,2021
29-10-2021,Q2,16:03,2021
28-01-2022,Q3,15:08,2022
28-04-2022,Q4,17:07,2022
28-07-2022,Q1,15:51,2022
28-10-2022,Q2,15:45,2022
