Date,Quarter,Time,Year
21-05-2013,Q4,09:58,2013
13-08-2013,Q1,16:38,2013
06-11-2013,Q2,14:59,2013
30-01-2014,Q3,14:11,2014
29-05-2014,Q4,19:23,2014
13-08-2014,Q1,20:03,2014
13-11-2014,Q2,18:23,2014
11-02-2015,Q3,15:59,2015
21-05-2015,Q4,17:23,2015
12-08-2015,Q1,14:07,2015
06-11-2015,Q2,14:26,2015
11-02-2016,Q3,14:13,2016
17-05-2016,Q4,15:23,2016
02-08-2016,Q1,13:27,2016
16-11-2016,Q2,17:53,2016
14-02-2017,Q3,18:19,2017
23-05-2017,Q4,19:29,2017
02-08-2017,Q1,13:41,2017
08-11-2017,Q2,18:22,2017
07-02-2018,Q3,13:47,2018
17-05-2018,Q4,16:26,2018
10-08-2018,Q1,13:17,2018
06-11-2018,Q2,14:32,2018
14-02-2019,Q3,15:29,2019
09-05-2019,Q4,16:09,2019
07-08-2019,Q1,13:42,2019
06-11-2019,Q2,18:16,2019
07-02-2020,Q3,13:17,2020
29-05-2020,Q4,18:02,2020
14-08-2020,Q1,13:03,2020
06-11-2020,Q2,21:16,2020
12-02-2021,Q3,12:18,2021
12-05-2021,Q4,14:24,2021
06-08-2021,Q1,12:05,2021
29-10-2021,Q2,13:04,2021
05-05-2022,Q4,19:55,2022
02-08-2022,Q1,18:24,2022
01-11-2022,Q2,16:09,2022
14-11-2022,Q2,19:43,2022
