Date,Quarter,Time,Year
19-04-2013,Q4,08:32,2013
26-07-2013,Q1,17:14,2013
22-10-2013,Q2,16:31,2013
17-01-2014,Q3,16:39,2014
17-04-2014,Q4,16:51,2014
24-07-2014,Q1,16:39,2014
22-10-2014,Q2,16:11,2014
16-01-2015,Q3,16:27,2015
21-04-2015,Q4,16:47,2015
23-07-2015,Q1,16:38,2015
21-10-2015,Q2,16:32,2015
18-01-2016,Q3,08:29,2016
20-04-2016,Q4,16:25,2016
19-07-2016,Q1,16:24,2016
21-10-2016,Q2,16:39,2016
25-01-2017,Q3,16:02,2017
25-04-2017,Q4,16:12,2017
20-07-2017,Q1,17:10,2017
17-10-2017,Q2,15:56,2017
19-01-2018,Q3,16:01,2018
25-04-2018,Q4,16:36,2018
20-07-2018,Q1,15:57,2018
24-10-2018,Q2,15:38,2018
18-01-2019,Q3,16:13,2019
16-04-2019,Q4,16:15,2019
17-07-2019,Q1,15:38,2019
15-10-2019,Q2,15:47,2019
14-01-2020,Q3,17:49,2020
15-04-2020,Q4,17:07,2020
14-07-2020,Q1,16:11,2020
13-10-2020,Q2,15:35,2020
13-01-2021,Q3,15:42,2021
15-04-2021,Q4,15:45,2021
15-07-2021,Q1,16:03,2021
13-10-2021,Q2,15:34,2021
12-01-2022,Q3,15:35,2022
29-04-2022,Q4,15:45,2022
20-07-2022,Q1,19:03,2022
12-10-2022,Q2,15:37,2022
27-10-2022,Q2,20:48,2022
13-01-2023,Q3,21:06,2023
