Date,Quarter,Time,Year
22-05-2013,Q4,12:30,2013
25-07-2013,Q1,13:35,2013
21-10-2013,Q2,12:59,2013
22-01-2014,Q3,13:39,2014
21-05-2014,Q4,14:55,2014
18-07-2014,Q1,13:51,2014
17-10-2014,Q2,14:27,2014
21-01-2015,Q3,12:51,2015
21-05-2015,Q4,14:03,2015
15-07-2015,Q1,10:37,2015
14-10-2015,Q2,14:44,2015
15-01-2016,Q3,13:21,2016
10-05-2016,Q4,16:53,2016
26-07-2016,Q1,15:36,2016
25-10-2016,Q2,12:53,2016
24-01-2017,Q3,14:36,2017
10-05-2017,Q4,15:06,2017
24-07-2017,Q1,16:39,2017
24-10-2017,Q2,11:52,2017
17-01-2018,Q3,13:43,2018
10-05-2018,Q4,15:51,2018
17-07-2018,Q1,15:40,2018
10-10-2018,Q2,15:40,2018
15-01-2019,Q3,15:38,2019
27-05-2019,Q4,17:19,2019
23-07-2019,Q1,15:38,2019
17-10-2019,Q2,17:57,2019
21-01-2020,Q3,18:59,2020
25-07-2020,Q1,00:40,2020
18-08-2020,Q1,15:41,2020
02-11-2020,Q2,16:58,2020
04-02-2021,Q3,14:06,2021
20-05-2021,Q4,16:01,2021
06-08-2021,Q1,15:57,2021
11-11-2021,Q2,17:28,2021
02-02-2022,Q3,16:54,2022
26-05-2022,Q4,18:08,2022
12-08-2022,Q1,16:53,2022
11-11-2022,Q2,17:33,2022
24-11-2022,Q2,19:13,2022
